season,team,player,age,mp,pts,ht,inches
2011,DAL,Peja Stojakovic,33,26,2,6-9,81
2012,MIA,LeBron James,27,220,143,6-8,80
2012,MIA,Dwyane Wade,30,203,113,6-4,76
2012,MIA,Chris Bosh,27,183,73,6-11,83
2012,MIA,Shane Battier,33,187,58,6-8,80
2012,MIA,Mario Chalmers,25,183,52,6-1,73
2012,MIA,Mike Miller,31,44,31,6-8,80
2012,MIA,Norris Cole,23,44,13,6-2,74
2012,MIA,Udonis Haslem,31,81,13,6-8,80
2012,MIA,James Jones,31,43,11,6-8,80
2012,MIA,Terrel Harris,24,3,3,6-5,77
2012,MIA,Joel Anthony,29,2,0,6-9,81
2012,MIA,Juwan Howard,38,3,0,6-9,81
2012,MIA,Ronny Turiaf,29,3,0,6-10,82
2013,MIA,LeBron James,28,301,177,6-8,80
2013,MIA,Dwyane Wade,31,255,137,6-4,76
2013,MIA,Chris Bosh,28,240,83,6-11,83
2013,MIA,Ray Allen,37,193,74,6-5,77
2013,MIA,Mario Chalmers,26,221,74,6-1,73
2013,MIA,Shane Battier,34,87,39,6-8,80
2013,MIA,Mike Miller,32,152,37,6-8,80
2013,MIA,Chris Andersen,34,71,22,6-10,82
2013,MIA,Norris Cole,24,82,15,6-2,74
2013,MIA,Udonis Haslem,32,64,9,6-8,80
2013,MIA,James Jones,32,12,6,6-8,80
2013,MIA,Rashard Lewis,33,12,4,6-10,82
2013,MIA,Joel Anthony,30,15,2,6-9,81
2014,SAS,Tony Parker,31,176,90,6-2,74
2014,SAS,Kawhi Leonard,22,167,89,6-7,79
2014,SAS,Tim Duncan,37,165,77,6-11,83
2014,SAS,Manu Ginobili,36,143,72,6-6,78
2014,SAS,Patrick Mills,25,76,51,6-0,72
2014,SAS,Danny Green,26,106,46,6-6,78
2014,SAS,Boris Diaw,31,176,31,6-8,80
2014,SAS,Tiago Splitter,29,84,31,6-11,83
2014,SAS,Marco Belinelli,27,59,23,6-5,77
2014,SAS,Aron Baynes,27,6,6,6-10,82
2014,SAS,Jeff Ayres,26,7,5,6-9,81
2014,SAS,Matt Bonner,33,27,5,6-10,82
2014,SAS,Cory Joseph,22,8,2,6-3,75
2015,GSW,Stephen Curry,26,255,156,6-3,75
2015,GSW,Andre Iguodala,31,222,98,6-6,78
2015,GSW,Klay Thompson,24,227,95,6-7,79
2015,GSW,Draymond Green,24,222,78,6-7,79
2015,GSW,Harrison Barnes,22,198,53,6-8,80
2015,GSW,Leandro Barbosa,32,64,31,6-3,75
2015,GSW,Shaun Livingston,29,120,30,6-7,79
2015,GSW,Festus Ezeli,25,50,22,6-11,83
2015,GSW,David Lee,31,39,22,6-9,81
2015,GSW,Andrew Bogut,30,74,10,7-0,84
2015,GSW,Marreese Speights,27,16,9,6-10,82
2015,GSW,Justin Holiday,25,2,0,6-6,78
2015,GSW,James Michael McAdoo,22,1,0,6-9,81
